date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-12-01T00:00:00.000Z,4.46,4.555,4.36,4.4,4429178,4.46,4.555,4.36,4.4,4429178,0.0,1.0
2023-12-04T00:00:00.000Z,4.58,4.59,4.45,4.46,2843472,4.58,4.59,4.45,4.46,2843472,0.0,1.0
2023-12-05T00:00:00.000Z,4.45,4.6,4.42,4.54,3022059,4.45,4.6,4.42,4.54,3022059,0.0,1.0
2023-12-06T00:00:00.000Z,4.46,4.61,4.45,4.48,2248704,4.46,4.61,4.45,4.48,2248704,0.0,1.0
2023-12-07T00:00:00.000Z,4.7,4.71,4.465,4.51,3745456,4.7,4.71,4.465,4.51,3745456,0.0,1.0
2023-12-08T00:00:00.000Z,4.8,4.9313,4.72,4.76,3203115,4.8,4.9313,4.72,4.76,3203115,0.0,1.0
2023-12-11T00:00:00.000Z,4.66,4.84,4.6015,4.79,3222138,4.66,4.84,4.6015,4.79,3222138,0.0,1.0
2023-12-12T00:00:00.000Z,4.6,4.67,4.48,4.63,3180439,4.6,4.67,4.48,4.63,3180439,0.0,1.0
2023-12-13T00:00:00.000Z,4.93,4.93,4.53,4.6,4221488,4.93,4.93,4.53,4.6,4221488,0.0,1.0
2023-12-14T00:00:00.000Z,5.17,5.4786,5.03,5.15,6583197,5.17,5.4786,5.03,5.15,6583197,0.0,1.0
2023-12-15T00:00:00.000Z,4.61,5.07,4.6,4.99,15336496,4.61,5.07,4.6,4.99,15336496,0.0,1.0
2023-12-18T00:00:00.000Z,4.49,4.69,4.44,4.68,6468214,4.49,4.69,4.44,4.68,6468214,0.0,1.0
2023-12-19T00:00:00.000Z,4.69,4.69,4.5287,4.54,5060180,4.69,4.69,4.5287,4.54,5060180,0.0,1.0
2023-12-20T00:00:00.000Z,4.41,4.75,4.39,4.68,5020804,4.41,4.75,4.39,4.68,5020804,0.0,1.0
2023-12-21T00:00:00.000Z,4.43,4.54,4.34,4.49,8652409,4.43,4.54,4.34,4.49,8652409,0.0,1.0
2023-12-22T00:00:00.000Z,5.44,5.76,4.94,5.09,51904987,5.44,5.76,4.94,5.09,51904987,0.0,1.0
2023-12-26T00:00:00.000Z,5.64,5.83,5.3818,5.635,18716502,5.64,5.83,5.3818,5.635,18716502,0.0,1.0
2023-12-27T00:00:00.000Z,5.74,5.81,5.555,5.65,8621477,5.74,5.81,5.555,5.65,8621477,0.0,1.0
2023-12-28T00:00:00.000Z,5.79,6.1399,5.65,5.71,11186675,5.79,6.1399,5.65,5.71,11186675,0.0,1.0
2023-12-29T00:00:00.000Z,5.53,5.78,5.44,5.78,9211956,5.53,5.78,5.44,5.78,9211956,0.0,1.0
